Date,Midcoast,JW Group,Heartbreakers FC,The Real Portland Timbers,One Love FC,Duppy Conquerors,Thunder FC,The Escape Room,Farmers FC,Lone Pine,U Gonna Learn Today,Portland Phoenix FC,Old Port FC,Yankee Ford Sporting Club,Carlos Auto Repair,Baxter Pines FC
2023-08-24,,,61.57630582487482,,25.38395156585283,26.552765558114267,152.66120618726492,27.308809426011035,29.76749640250668,25.89404527175998,29.02043467577592,,,,,
2023-08-29,,,60.10122973361281,,25.204783905918603,26.552765558114267,152.66120618726492,27.308809426011035,29.64590195540452,25.89404527175998,28.718886215333118,,,,,
2023-08-31,,,60.10122973361281,,25.204783905918603,25.714788064432245,155.122236769674,26.95253618113608,29.64590195540452,25.60063638514293,28.718886215333118,,,,,
2023-09-05,,,58.70846643034711,,25.155856585387376,25.714788064432245,155.122236769674,26.95253618113608,29.64590195540452,25.60063638514293,28.718886215333118,,,,,
2023-09-07,,,58.70846643034711,,25.155856585387376,25.714788064432245,155.9537817634194,26.51284216906278,29.201773005510532,25.33884729706031,28.718886215333118,,,,,
2023-09-12,,,58.70846643034711,,24.8224033616313,25.48650025120712,155.9537817634194,26.255839056288348,29.201773005510532,24.996446634222163,28.718886215333118,,,,,
2023-09-14,,,58.40456366739708,,24.8224033616313,25.48650025120712,155.9537817634194,26.255839056288348,29.201773005510532,24.996446634222163,28.728798513514327,,,,,
2023-09-19,,,58.40456366739708,,24.8224033616313,25.311052418764927,153.36866827853865,26.255839056288348,28.340877531342148,24.996446634222163,28.447892483804765,,,,,
2023-09-26,,,58.40456366739708,,24.8224033616313,25.311052418764927,154.38207806662433,26.04735610479387,28.061189754121475,24.56778268586758,28.447892483804765,,,,,
2023-09-28,,,58.121980190394204,,24.54181516870625,25.00911728969385,154.38207806662433,26.04735610479387,28.061189754121475,24.56778268586758,28.461201906062783,,,,,
2023-10-03,,,58.121980190394204,,24.54181516870625,24.846844036173138,151.2220887668409,26.04735610479387,27.34832267096767,24.56778268586758,28.189095967462855,,,,,
2023-10-10,,,58.121980190394204,,24.54181516870625,24.846844036173138,152.57384067416018,26.04735610479387,27.34832267096767,24.56778268586758,27.648368354870307,,,,,
2024-06-11,,,,,24.54181516870625,,155.85887982321344,25.510975563538018,27.34832267096767,24.129736939890947,,,,,83.75276100450209,
2024-06-18,,,,,24.301860960447744,,155.85887982321344,25.430503026350454,27.34832267096767,23.905421132568673,,,123.9189897988178,,83.75276100450209,
